EFFBMY,IT Attrition count,KPO Attrition count
April 2017,374,225
April 2018,385,227
April 2019,77,36
August 2017,271,207
August 2018,436,196
December 2017,368,256
December 2018,418,199
February 2018,342,231
February 2019,425,180
January 2018,341,244
January 2019,513,201
July 2017,274,195
July 2018,420,259
June 2017,545,200
June 2018,427,240
March 2018,416,288
March 2019,438,233
May 2017,692,245
May 2018,454,227
November 2017,332,236
November 2018,362,227
October 2017,306,217
October 2018,423,205
September 2017,324,212
September 2018,414,158
